ART CODE,TITLE,TYPE,YEAR,ARTIST,ADDRESS,LOCATION,X,Y,IMAGE_URL,JPG_URL
101,Almond Blossom/Astronomyaa,public sculpture,1986,David Anderson,4440 Osuna NE,Osuna Median bet.Jefferson/ W.Frontage Rd,-106.5918383,35.1555,http://www.flickr.com/photos/abqpublicart/6831137393/,http://farm8.staticflickr.com/7153/6831137393_fa38634fd7_m.jpg
102,Formas Esperando Palabra de Otros Mundos,public sculpture,1983,Federico Armijo,Lomas & 16th St. NW,Old Town,-106.6641772,35.0931,http://www.flickr.com/photos/abqpublicart/2479129916/,http://farm3.staticflickr.com/2167/2479129916_0d861b2600.jpg
104,Sumer #24,public sculpture,1999,Larry Bell,San Pedro &  Los Arboles NE,Quigley Park,-106.5779912,35.1143,http://www.flickr.com/photos/abqpublicart/908720823/,http://farm2.staticflickr.com/1416/908720823_e390a242f4.jpg
105,Images,public sculpture,1988,Rod Blankley,620 Georgia SE,Emerson School / John Carillo Park,-106.5708861,35.0682,http://www.flickr.com/photos/abqpublicart/6831253349/,http://farm8.staticflickr.com/7012/6831253349_52c0a680ba.jpg
106,The Hounds of Enchantment,public sculpture,1998,Peter Broussard,Morris & Lexington NE,Matheson Park,-106.5230099,35.1121,http://www.flickr.com/photos/abqpublicart/1030960964/,http://farm2.staticflickr.com/1243/1030960964_d6de360ad9.jpg
107,Carved Wood Dais,carvings (visual works),1996,Max Chavez,400 Marquette NW,City/County Government Bldg.,-106.6515905,35.088,http://www.flickr.com/photos/abqpublicart/2513552515/,http://farm3.staticflickr.com/2413/2513552515_b6a0c07f08.jpg
108,Runways,fiber art,1988,Nancy Kozikowski,2200 Sunport Blvd SE,Main Terminal,-106.6166671,35.0488,http://www.flickr.com/photos/abqpublicart/2456692901/,http://farm3.staticflickr.com/2376/2456692901_505978bd9d.jpg
109,Triptych,fiber art,1996,Donna Contractor,400 Marquette NW,City/County Government Bldg.,-106.6515905,35.088,http://www.flickr.com/photos/abqpublicart/2514376900/,http://farm3.staticflickr.com/2334/2514376900_5dd82a66e6.jpg
110,Kindred Spirit,casts (sculpture),1995,Lou  Cuevas,11800 Sunset Gardens SW,Westside Animal Control Center,-106.7614158,35.0648,http://www.flickr.com/photos/abqpublicart/6836543449/,http://farm8.staticflickr.com/7013/6836543449_1ae0118bd9.jpg
111,Solar Arc,public sculpture,1985,William Drexel,Menaul Blvd. at 12th Street NW,4-H Park,-106.659923,35.1123,http://www.flickr.com/photos/abqpublicart/2478318273/,http://farm3.staticflickr.com/2401/2478318273_601e1707d9.jpg
,,,,O.K. Harris,,,,,,
112,Interweave,public sculpture,1984,C. Anthony Eck,7525 Zuni SE,East Central Multi-Service Center,-106.5637513,35.0732,http://www.flickr.com/photos/abqpublicart/2439174720/,http://farm3.staticflickr.com/2330/2439174720_0f1021c0e7.jpg
113,Hand of Friendship,public sculpture,1984,Ted Egri,Tramway & Central NE,Tramway & Central,-106.4965063,35.0683,http://www.flickr.com/photos/abqpublicart/2534820814/,http://farm3.staticflickr.com/2061/2534820814_22da1a0210.jpg
114,Presto,neon sculpture,1984,Jeanette Entwisle,5th St & Copper NW,5th & Copper NW Parking Structure,-106.6525021,35.0855,http://www.flickr.com/photos/abqpublicart/2478318313/,http://farm3.staticflickr.com/2010/2478318313_1b56557417.jpg
